date,time,bytes,bytes_per_sec,msgs,msgs_per_sec,success,error,lat_count,lat_avg,lat_max,lat_histo_samples,lat_histo_min,lat_histo_max,lat_histo_mean,lat_histo_stddev,lat_histo_median,lat_histo_p75,lat_histo_p95,lat_histo_p98,lat_histo_p99,lat_histo_p999,topics
2018-07-31,14:56:07,2202572428,36709540,10614659,176910,10614659,0,10614659,230,1036,10614659,3,1036,230.32,113.67,215.00,279.00,442.00,546.00,640.00,883.00,1000
2018-07-31,14:57:07,3145310633,53310349,15158451,256922,15158454,0,15158458,193,1476,14886743,23,1476,193.14,88.35,188.00,242.00,316.00,373.00,458.00,1083.00,1000
2018-07-31,14:58:07,3139398610,53210145,15129811,256437,15129808,0,15129804,193,1138,14831204,23,1138,193.96,86.61,188.00,243.00,331.00,405.00,466.00,769.00,1000
2018-07-31,14:59:07,3145598536,52426642,15158963,252649,15158963,0,15158963,197,841,14816100,25,841,196.40,81.06,192.00,246.00,325.00,379.00,447.00,634.00,1000
2018-07-31,15:00:07,3156913573,53507009,15214000,257864,15214000,0,15214000,200,860,14897922,22,860,199.32,81.78,195.00,249.00,329.00,389.00,453.00,636.00,1000
2018-07-31,15:01:07,3143985936,52399765,15151980,252533,15151986,0,15151991,216,972,14899481,24,972,216.89,84.96,212.00,268.00,347.00,416.00,485.00,690.00,1000
2018-07-31,15:02:07,3147282618,53343773,15167461,257075,15167459,0,15167457,206,2037,14861441,23,2037,206.43,117.33,196.00,251.00,342.00,444.00,546.00,1477.00,1000
2018-07-31,15:03:07,3145695252,52428254,15159707,252661,15159705,0,15159704,192,1432,14863976,23,1432,192.49,82.55,188.00,242.00,314.00,363.00,434.00,801.00,1000
2018-07-31,15:04:07,3148709622,52478493,15174791,252913,15174790,0,15174790,197,1542,14908939,24,1542,197.22,84.98,192.00,246.00,322.00,393.00,467.00,701.00,1000
2018-07-31,15:05:07,3146080325,52434672,15161457,252690,15161458,0,15161461,177,926,14871555,24,926,177.15,77.93,173.00,226.00,290.00,358.00,435.00,651.00,1000
2018-07-31,15:06:07,3145377773,53311487,15158373,256921,15158372,0,15158371,178,891,14860627,23,891,178.35,75.62,175.00,228.00,290.00,343.00,421.00,618.00,1000
2018-07-31,15:07:07,3146346539,52439108,15163016,252716,15163018,0,15163022,195,1452,14883686,23,1452,195.28,82.91,191.00,244.00,317.00,367.00,447.00,709.00,1000
